Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: AF594 mean	Cell: AF594 std dev	Cell: AF594 max	Cell: AF594 min	Cytoplasm: AF594 mean	Cytoplasm: AF594 std dev	Cytoplasm: AF594 max	Cytoplasm: AF594 min
4.czi	0f43c41e-f19b-49cb-9b16-a6c8cbd944c2	Cell			CTX	Polygon	2939.5	6082.2	1925.1234	169.7867	0.8392	61.7455	40.0295	0.7767	542.3145	161.0168	1410	263	470.8487	91.4438	690	263
4.czi	16aac759-2d04-4e53-bd5a-3b0d8c2a8a3e	Cell			CTX	Polygon	2814.5	6079.8	1760.2306	157.04	0.8969	55.8479	40.655	0.682	550.7996	160.0725	1045	250	465.7084	100.4284	709	250
4.czi	d93350d1-40be-49c7-8be4-68495033741d	Cell			CTX	Polygon	2772	6088.6	1766.8264	156.9929	0.9008	54.808	42.459	0.6476	474.1399	193.8678	1831	213	385.9452	91.6247	731	213
4.czi	2d23dc5e-a011-4977-98d0-8ab1b7c84611	Cell			CTX	Polygon	2854.3	6095.6	1441.9875	143.4958	0.88	48.7172	39.599	0.5495	398.9149	112.3925	810	219	350.7298	72.7363	567	219
4.czi	d055e1a0-8e56-46f4-8bae-bd649bb3db1d	Cell			CTX	Polygon	2206.6	6094.4	1831.1345	159.1162	0.9089	57.5284	41.7744	0.6905	463.2174	112.6668	735	229	414.6121	94.5429	714	229
4.czi	9e652d45-b9eb-46aa-9f26-9779927fdea4	Cell			CTX	Polygon	2604.9	6096.3	1036.3512	120.4628	0.8975	42.9938	30.851	0.6977	588.3214	181.968	1097	227	516.72	135.9615	920	227
4.czi	06bc9f6b-9f86-441f-bfe0-f8e0ea2f9588	Cell			CTX	Polygon	2981.2	6105.7	1532.6786	144.6851	0.9201	54.0964	35.9336	0.7367	405.0377	153.322	997	223	329.7446	54.3683	613	223
4.czi	f8d96943-f885-4fac-9ecf-cb072f65bb7a	Cell			CTX	Polygon	2530.3	6117.8	1225.978	133.2859	0.8672	50.1205	31.1648	0.7901	625.9966	306.1024	1972	277	487.3827	114.8702	927	277
4.czi	8f9646cf-1f69-480c-8519-7c5b3550d26b	Cell			CTX	Polygon	1902.4	6120.6	1589.5666	152.7284	0.8563	58.3867	34.3521	0.8143	621.6197	231.7172	2091	242	521.8999	116.0194	881	242
4.czi	5260d5d6-d551-4532-b200-9d366658b454	Cell			CTX	Polygon	2518.2	6143.9	1559.8859	161.1083	0.7552	61.4168	35.7067	0.8614	584.8711	296.8364	2201	231	455.7795	139.3615	1064	231
4.czi	890dd7d0-ee49-45c4-9879-1cd8ae8ad543	Cell			CTX	Polygon	1707.7	6147.1	1648.1035	146.869	0.9601	48.3848	45.1091	0.3068	459.3435	151.0749	824	221	387.4692	117.3088	819	221
4.czi	b3c49cf5-be1f-406a-a9dd-67a3759e7115	Cell			CTX	Polygon	2476.4	6150.2	1329.8604	132.1821	0.9565	45.7523	38.4165	0.5293	710.0495	297.3064	2550	228	592.6516	147.137	951	228
4.czi	b55a1177-898c-4bb3-95c6-6b264c81d988	Cell			CTX	Polygon	1908.2	6159	1609.3537	150.5095	0.8928	53.1845	41.711	0.6448	583.8854	135.6731	995	254	530.645	115.3567	857	254
